ID;ID;phi1A;PHIA;phi2A;minDev;myDev;eulNew0;eulNew1;eulNew2;disoriANew
ID;222;0.532676;1.55758;6.01525;0.0174533;0.806525;0.746177;2.13646;6.10611;0.613735
ID;223;0.199856;1.36481;6.08438;0.0174533;4.75531;0;1.5708;0;0.336603
ID;224;0.685193;0.972883;6.03935;0.0174533;1.62328;0.753811;1.89965;6.2083;0.709714
ID;225;0.288385;1.08506;6.10073;0.0174533;5.12098;0;1.5708;0;0.569498
ID;226;1.04188;1.59725;5.80991;0.0174533;0.271778;1.0796;1.80207;5.96958;0.259268
ID;227;0.21262;0.463599;6.12419;0.0174533;1.24922;0.421729;0.853298;6.01069;0.412258
ID;228;1.03073;1.55289;6.00802;0.0174533;2.63951;2.50428;2.40804;1.16468;0.657373
ID;229;0.963079;1.34915;5.85115;0.0174533;3.64464;0;1.5708;0;0.809492
ID;230;0.345193;0.197591;5.98486;0.0174533;0.78304;0.612828;0.634493;5.81625;0.453994
ID;231;1.12344;1.78369;5.87715;0.0174533;5.42096;0;1.5708;0;0.60625
ID;232;0.827524;0.612501;5.75003;0.0174533;4.11126;0;1.5708;0;0.677556
ID;233;0.916403;1.67784;5.99054;0.0174533;0.110498;0.928486;1.74739;6.0569;0.0957009
ID;234;1.08984;1.73501;5.80884;0.0174533;4.18543;0;1.5708;0;0.663677
ID;235;0.139753;1.11821;6.18575;0.0174533;4.26666;0;1.5708;0;0.476638
ID;236;0.695444;0.682756;5.93929;0.0174533;6.19564;0;1.5708;0;0.764781
ID;237;0.62202;1.03691;5.67555;0.0174533;1.06953;0.689505;1.91728;5.91588;0.914552
ID;238;0.74547;1.3915;5.67187;0.0174533;5.61039;0;1.5708;0;0.927368
ID;239;1.19436;1.65989;6.13622;0.0174533;3.43884;0;1.5708;0;0.407373
ID;240;0.186906;0.339541;6.10223;0.0174533;4.57524;0;1.5708;0;0.339592
ID;241;0.76504;0.965845;5.7246;0.0174533;4.92814;0;1.5708;0;0.981647
ID;242;0.657754;1.00175;5.99322;0.0174533;3.88444;0;1.5708;0;0.845698
ID;243;0.538661;1.36266;6.18933;0.0174533;1.16747;0.754861;2.05157;0.0902126;0.735416
ID;244;0.160618;1.47189;6.18728;0.0174533;1.93377;0.405057;2.92414;6.22971;0.343997
ID;245;0.897418;1.66603;6.05374;0.0174533;0.288163;0.971263;1.93007;6.11071;0.276527
ID;246;0.305197;0.566528;6.0042;0.0174533;0.791726;0.650811;1.03978;5.85658;0.539384
ID;247;0.908796;1.18402;6.05685;0.0174533;4.57547;0;1.5708;0;0.830086
ID;248;0.665146;1.59346;5.71228;0.0174533;4.1462;0;1.5708;0;0.874798
ID;249;0.881137;0.82071;5.91272;0.0174533;5.17814;0;1.5708;0;0.958899
ID;250;0.876931;1.46062;6.14027;0.0174533;4.02309;0;1.5708;0;0.723605
ID;251;0.400993;1.16745;6.11776;0.0174533;0.318294;0.405676;1.46786;6.13498;0.301008
ID;252;1.1266;1.46193;6.01525;0.0174533;4.16822;0;1.5708;0;0.540794
ID;253;1.30507;1.39411;6.11891;0.0174533;1.67722;1.46339;1.83212;0.859678;0.71937
ID;254;0.664939;1.2119;5.91714;0.0174533;5.48494;0;1.5708;0;0.778839
ID;255;0.477035;1.56587;6.21464;0.0174533;3.75754;0;1.5708;0;0.481699
ID;256;0.652944;1.42595;5.88449;0.0174533;0.663369;0.714002;1.98592;6.0597;0.586647
ID;257;0.740644;0.726958;5.84951;0.0174533;2.53391;0.660585;2.14058;0.193723;0.481622
ID;258;0.525884;1.64326;5.88466;0.0174533;2.99074;1.18794;2.6931;6.23145;1.00427
ID;259;0.610838;1.3922;5.79528;0.0174533;1.94912;1.33175;2.6003;0.272399;0.92433
ID;260;0.0787421;1.36706;6.22267;0.0174533;6.03777;0;1.5708;0;0.224416
ID;261;1.03052;1.57221;6.05099;0.0174533;2.19559;2.11314;2.25888;0.771468;0.843768
ID;262;0.918088;1.17187;5.64268;0.0174533;4.45246;0;1.5708;0;1.06452
ID;263;1.48986;1.57132;6.26779;0.0174533;0.415068;1.54172;1.64816;0.277713;0.305385
ID;264;1.13735;1.09278;5.86964;0.0174533;1.00788;1.22205;1.73652;0.156727;0.866175
ID;265;0.284164;1.45558;6.12553;0.0174533;1.47949;0.625111;2.09598;6.01747;0.7408
ID;266;0.515812;1.1406;6.03549;0.0174533;0.926547;0.556175;1.97297;0.000583894;0.787465
ID;267;0.364725;0.795392;5.92978;0.0174533;2.10868;0.929461;2.01718;5.86708;0.975568
ID;268;0.987981;1.62155;6.15644;0.0174533;3.11326;1.04523;1.91969;0.14282;0.397614
ID;269;0.666468;0.968951;5.92684;0.0174533;3.35151;0;1.5708;0;0.876854
ID;270;0.821064;1.28961;5.79037;0.0174533;1.0678;1.13254;1.85176;6.06606;0.695603
ID;271;0.606447;1.69458;5.69807;0.0174533;2.13247;0.878426;2.54233;6.03736;0.892644
ID;272;1.26528;1.46049;6.11476;0.0174533;1.47905;1.40061;1.88803;0.828008;0.735753
ID;273;0.904532;1.52209;5.7015;0.0174533;1.03386;1.3519;2.23015;6.18791;0.884655
ID;274;0.826466;1.52827;6.1109;0.0174533;5.71143;0;1.5708;0;0.767787
ID;275;1.18844;1.49966;6.10678;0.0174533;0.0948729;1.20676;1.56435;6.14742;0.0789179
ID;276;0.254555;0.787545;6.07057;0.0174533;0.669995;0.631037;1.29412;5.94032;0.601375
ID;277;0.779407;1.21458;5.5267;0.0174533;0.850595;0.888906;1.90843;5.80502;0.753501
ID;278;0.78774;1.57783;5.57294;0.0174533;2.9251;0.850773;2.44144;5.68028;0.868572
ID;279;0.526148;1.56413;6.02792;0.0174533;1.69972;0.733687;2.08357;6.03524;0.55785
ID;280;0.72018;1.15085;5.96657;0.0174533;1.79118;0.975133;2.2319;6.25342;0.714354
ID;281;0.91876;1.18749;5.95484;0.0174533;3.91031;0;1.5708;0;0.866983
ID;282;0.584568;1.08414;5.75662;0.0174533;4.69236;0;1.5708;0;0.828491
