ID;ID;phi1;PHI;phi2;q0;q1;q2;q3;phi1;PHI;phi2;q0B;q1B;q2B;q3B;misorientationCubicEulerAB;misoriQxQAB;misoriQuatCubic0;misoriQuatCubic1;misoriQuatCubic2;misoriQuatCubic3
ID;98;0.49171;1.51072;5.9639;-0.725322;-0.629957;-0.270432;-0.0626888;0.49171;1.51072;5.9639;-0.725322;-0.629957;-0.270432;-0.0626888;2.98023e-08;2.98023e-08;1;5.55112e-17;2.77556e-17;6.93889e-18
ID;99;0.805477;1.06425;5.78749;-0.851416;-0.403724;-0.307288;-0.132939;0.805477;1.06425;5.78749;-0.851416;-0.403724;-0.307288;-0.132939;0;0;1;6.93889e-17;2.77556e-17;0
ID;100;0.400009;1.25432;6.05898;-0.806571;-0.558496;-0.180201;-0.0710811;0.400009;1.25432;6.05898;-0.806571;-0.558496;-0.180201;-0.0710811;0;0;1;0;0;0
ID;101;0.677391;1.47122;5.96118;-0.729748;-0.588989;-0.321537;-0.131051;0.677391;1.47122;5.96118;-0.729748;-0.588989;-0.321537;-0.131051;0;0;1;5.55112e-17;2.77556e-17;1.38778e-17
ID;102;0.634491;1.27905;5.72452;-0.801804;-0.493722;-0.335297;-0.0304149;0.634491;1.27905;5.72452;-0.801804;-0.493722;-0.335297;-0.0304149;2.98023e-08;2.98023e-08;1;1.56125e-17;3.46945e-18;0
ID;103;0.833365;1.6015;6.12854;-0.656465;-0.632049;-0.340387;-0.231742;0.833365;1.6015;6.12854;-0.656465;-0.632049;-0.340387;-0.231742;0;0;1;2.77556e-17;0;0
ID;104;0.809565;1.56157;5.73759;-0.704183;-0.548354;-0.441242;-0.0934851;0.809565;1.56157;5.73759;-0.704183;-0.548354;-0.441242;-0.0934851;0;0;1;7.63278e-17;4.16334e-17;0
ID;105;0.219379;1.15066;6.20442;-0.83694;-0.538077;-0.0808113;-0.0589405;0.219379;1.15066;6.20442;-0.83694;-0.538077;-0.0808113;-0.0589405;2.98023e-08;2.98023e-08;1;6.93889e-18;0;0
ID;106;0.632105;0.605715;5.93946;-0.944583;-0.263447;-0.139815;-0.137151;0.632105;0.605715;5.93946;-0.944583;-0.263447;-0.139815;-0.137151;0;0;1;9.71445e-17;7.63278e-17;0
ID;107;0.428471;1.58371;5.95979;-0.701557;-0.661959;-0.26128;-0.0368906;0.428471;1.58371;5.95979;-0.701557;-0.661959;-0.26128;-0.0368906;0;0;1;1.04083e-17;6.93889e-18;0
ID;108;0.987892;1.18791;5.76691;-0.805799;-0.408689;-0.382327;-0.193616;0.987892;1.18791;5.76691;-0.805799;-0.408689;-0.382327;-0.193616;0;0;1;1.38778e-17;0;0
ID;109;0.953168;1.33276;5.76514;-0.767536;-0.458305;-0.414797;-0.169671;0.953168;1.33276;5.76514;-0.767536;-0.458305;-0.414797;-0.169671;0;0;1;0;0;0
ID;110;0.584933;1.37605;5.8308;-0.770804;-0.551501;-0.314787;-0.0511596;0.584933;1.37605;5.8308;-0.770804;-0.551501;-0.314787;-0.0511596;0;0;1;4.85723e-17;4.16334e-17;3.46945e-18
ID;111;0.129743;1.10023;6.23079;-0.851828;-0.520617;-0.0475439;-0.0329597;0.129743;1.10023;6.23079;-0.851828;-0.520617;-0.0475439;-0.0329597;0;0;1;0;0;0
ID;112;0.719153;1.13643;6.05162;-0.817938;-0.478465;-0.246278;-0.203457;0.719153;1.13643;6.05162;-0.817938;-0.478465;-0.246278;-0.203457;0;0;1;1.38778e-17;0;0
ID;113;0.837942;0.743609;5.67318;-0.925629;-0.272175;-0.240636;-0.105952;0.837942;0.743609;5.67318;-0.925629;-0.272175;-0.240636;-0.105952;0;0;1;0;0;0
ID;114;0.624018;1.36417;6.21142;-0.746854;-0.592647;-0.214917;-0.211634;0.624018;1.36417;6.21142;-0.746854;-0.592647;-0.214917;-0.211634;0;0;1;2.77556e-17;0;0
ID;115;1.18086;1.49568;6.14837;-0.635145;-0.538141;-0.415793;-0.366211;1.18086;1.49568;6.14837;-0.635145;-0.538141;-0.415793;-0.366211;0;0;1;0;0;0
ID;116;0.732434;1.65137;5.65204;-0.677184;-0.570697;-0.463194;-0.0343232;0.732434;1.65137;5.65204;-0.677184;-0.570697;-0.463194;-0.0343232;0;0;1;1.38778e-17;3.46945e-18;0
ID;117;0.503659;0.867532;5.97689;-0.902975;-0.386295;-0.165593;-0.0893981;0.503659;0.867532;5.97689;-0.902975;-0.386295;-0.165593;-0.0893981;0;0;1;0;0;0
ID;118;0.671428;0.635413;5.78884;-0.946233;-0.260806;-0.17195;-0.0839988;0.671428;0.635413;5.78884;-0.946233;-0.260806;-0.17195;-0.0839988;0;0;1;1.73472e-16;6.245e-17;0
ID;119;0.35173;1.33531;5.97218;-0.785114;-0.585462;-0.201432;-0.0159874;0.35173;1.33531;5.97218;-0.785114;-0.585462;-0.201432;-0.0159874;0;0;1;1.21431e-17;0;0
ID;120;0.35453;1.4502;5.9466;-0.748402;-0.624007;-0.224643;-0.00671632;0.35453;1.4502;5.9466;-0.748402;-0.624007;-0.224643;-0.00671632;0;0;1;1.21431e-17;0;0
ID;121;0.675277;1.59589;5.7102;-0.697265;-0.580952;-0.418379;-0.0356948;0.675277;1.59589;5.7102;-0.697265;-0.580952;-0.418379;-0.0356948;0;0;1;1.38778e-17;1.04083e-17;0
